CoaID,LotNo,ItemCode,ItemName,VendorName,InspectDate,Parameter,LSL,USL,MeasuredValue,Result
C001,LOT001,RM001,ABS Resin,A사,2025-12-15,Moisture,0.00,0.50,0.14,PASS
C001,LOT001,RM001,ABS Resin,A사,2025-12-15,Purity,99.00,100.00,99.52,PASS
C002,LOT002,RM001,ABS Resin,A사,2025-12-22,Moisture,0.00,0.50,0.13,PASS
C002,LOT002,RM001,ABS Resin,A사,2025-12-22,Purity,99.00,100.00,99.47,PASS
C003,LOT003,RM001,ABS Resin,A사,2025-12-29,Moisture,0.00,0.50,0.15,PASS
C003,LOT003,RM001,ABS Resin,A사,2025-12-29,Purity,99.00,100.00,99.55,PASS
C004,LOT004,RM001,ABS Resin,A사,2026-01-05,Moisture,0.00,0.50,0.14,PASS
C004,LOT004,RM001,ABS Resin,A사,2026-01-05,Purity,99.00,100.00,99.50,PASS
C005,LOT005,RM001,ABS Resin,A사,2026-01-12,Moisture,0.00,0.50,0.16,PASS
C005,LOT005,RM001,ABS Resin,A사,2026-01-12,Purity,99.00,100.00,99.44,PASS
C006,LOT006,RM001,ABS Resin,A사,2026-01-19,Moisture,0.00,0.50,0.14,PASS
C006,LOT006,RM001,ABS Resin,A사,2026-01-19,Purity,99.00,100.00,99.53,PASS
C007,LOT007,RM001,ABS Resin,A사,2026-01-26,Moisture,0.00,0.50,0.13,PASS
C007,LOT007,RM001,ABS Resin,A사,2026-01-26,Purity,99.00,100.00,99.49,PASS
C008,LOT008,RM001,ABS Resin,A사,2026-02-02,Moisture,0.00,0.50,0.15,PASS
C008,LOT008,RM001,ABS Resin,A사,2026-02-02,Purity,99.00,100.00,99.57,PASS
C009,LOT009,RM001,ABS Resin,A사,2026-02-09,Moisture,0.00,0.50,0.14,PASS
C009,LOT009,RM001,ABS Resin,A사,2026-02-09,Purity,99.00,100.00,99.46,PASS
C010,LOT010,RM001,ABS Resin,A사,2026-02-16,Moisture,0.00,0.50,0.15,PASS
C010,LOT010,RM001,ABS Resin,A사,2026-02-16,Purity,99.00,100.00,99.51,PASS
C011,LOT011,RM001,ABS Resin,A사,2026-02-23,Moisture,0.00,0.50,0.13,PASS
C011,LOT011,RM001,ABS Resin,A사,2026-02-23,Purity,99.00,100.00,99.54,PASS
C012,LOT012,RM001,ABS Resin,A사,2026-03-02,Moisture,0.00,0.50,0.14,PASS
C012,LOT012,RM001,ABS Resin,A사,2026-03-02,Purity,99.00,100.00,99.48,PASS
C013,LOT013,RM001,ABS Resin,A사,2026-03-09,Moisture,0.00,0.50,0.16,PASS
C013,LOT013,RM001,ABS Resin,A사,2026-03-09,Purity,99.00,100.00,99.43,PASS
C014,LOT014,RM001,ABS Resin,A사,2026-03-16,Moisture,0.00,0.50,0.15,PASS
C014,LOT014,RM001,ABS Resin,A사,2026-03-16,Purity,99.00,100.00,99.52,PASS
C015,LOT015,RM001,ABS Resin,A사,2026-03-23,Moisture,0.00,0.50,0.14,PASS
C015,LOT015,RM001,ABS Resin,A사,2026-03-23,Purity,99.00,100.00,99.56,PASS
C016,LOT016,RM001,ABS Resin,A사,2026-03-30,Moisture,0.00,0.50,0.13,PASS
C016,LOT016,RM001,ABS Resin,A사,2026-03-30,Purity,99.00,100.00,99.49,PASS
C017,LOT017,RM001,ABS Resin,A사,2026-04-06,Moisture,0.00,0.50,0.15,PASS
C017,LOT017,RM001,ABS Resin,A사,2026-04-06,Purity,99.00,100.00,99.51,PASS
C018,LOT018,RM001,ABS Resin,A사,2026-04-13,Moisture,0.00,0.50,0.14,PASS
C018,LOT018,RM001,ABS Resin,A사,2026-04-13,Purity,99.00,100.00,99.45,PASS
C019,LOT019,RM001,ABS Resin,A사,2026-04-20,Moisture,0.00,0.50,0.16,PASS
C019,LOT019,RM001,ABS Resin,A사,2026-04-20,Purity,99.00,100.00,99.53,PASS
C020,LOT020,RM001,ABS Resin,A사,2026-04-27,Moisture,0.00,0.50,0.14,PASS
C020,LOT020,RM001,ABS Resin,A사,2026-04-27,Purity,99.00,100.00,99.50,PASS
C021,LOT021,RM001,ABS Resin,A사,2026-05-04,Moisture,0.00,0.50,0.22,PASS
C021,LOT021,RM001,ABS Resin,A사,2026-05-04,Purity,99.00,100.00,99.48,PASS
C022,LOT022,RM001,ABS Resin,A사,2026-05-11,Moisture,0.00,0.50,0.21,PASS
C022,LOT022,RM001,ABS Resin,A사,2026-05-11,Purity,99.00,100.00,99.55,PASS
C023,LOT023,RM001,ABS Resin,A사,2026-05-18,Moisture,0.00,0.50,0.23,PASS
C023,LOT023,RM001,ABS Resin,A사,2026-05-18,Purity,99.00,100.00,99.51,PASS
C024,LOT024,RM001,ABS Resin,A사,2026-05-25,Moisture,0.00,0.50,0.24,PASS
C024,LOT024,RM001,ABS Resin,A사,2026-05-25,Purity,99.00,100.00,99.46,PASS
C025,LOT025,RM001,ABS Resin,A사,2026-06-01,Moisture,0.00,0.50,0.23,PASS
C025,LOT025,RM001,ABS Resin,A사,2026-06-01,Purity,99.00,100.00,99.53,PASS
C026,LOT026,RM001,ABS Resin,A사,2026-06-08,Moisture,0.00,0.50,0.25,PASS
C026,LOT026,RM001,ABS Resin,A사,2026-06-08,Purity,99.00,100.00,99.50,PASS
C027,LOT027,RM001,ABS Resin,A사,2026-06-15,Moisture,0.00,0.50,0.26,PASS
C027,LOT027,RM001,ABS Resin,A사,2026-06-15,Purity,99.00,100.00,99.44,PASS
C028,LOT028,RM001,ABS Resin,A사,2026-06-22,Moisture,0.00,0.50,0.25,PASS
C028,LOT028,RM001,ABS Resin,A사,2026-06-22,Purity,99.00,100.00,99.57,PASS
C029,LOT029,RM001,ABS Resin,A사,2026-06-29,Moisture,0.00,0.50,0.27,PASS
C029,LOT029,RM001,ABS Resin,A사,2026-06-29,Purity,99.00,100.00,99.49,PASS
C030,LOT030,RM001,ABS Resin,A사,2026-07-06,Moisture,0.00,0.50,0.26,PASS
C030,LOT030,RM001,ABS Resin,A사,2026-07-06,Purity,99.00,100.00,99.52,PASS
C031,LOT031,RM001,ABS Resin,A사,2026-07-13,Moisture,0.00,0.50,0.28,PASS
C031,LOT031,RM001,ABS Resin,A사,2026-07-13,Purity,99.00,100.00,99.47,PASS
C032,LOT032,RM001,ABS Resin,A사,2026-07-20,Moisture,0.00,0.50,0.27,PASS
C032,LOT032,RM001,ABS Resin,A사,2026-07-20,Purity,99.00,100.00,99.54,PASS
C033,LOT033,RM001,ABS Resin,A사,2026-07-27,Moisture,0.00,0.50,0.29,PASS
C033,LOT033,RM001,ABS Resin,A사,2026-07-27,Purity,99.00,100.00,99.50,PASS
C034,LOT034,RM001,ABS Resin,A사,2026-08-03,Moisture,0.00,0.50,0.28,PASS
C034,LOT034,RM001,ABS Resin,A사,2026-08-03,Purity,99.00,100.00,99.45,PASS
C035,LOT035,RM001,ABS Resin,A사,2026-08-10,Moisture,0.00,0.50,0.30,PASS
C035,LOT035,RM001,ABS Resin,A사,2026-08-10,Purity,99.00,100.00,99.53,PASS
C036,LOT036,RM001,ABS Resin,A사,2026-08-17,Moisture,0.00,0.50,0.29,PASS
C036,LOT036,RM001,ABS Resin,A사,2026-08-17,Purity,99.00,100.00,99.48,PASS
C037,LOT037,RM001,ABS Resin,A사,2026-08-24,Moisture,0.00,0.50,0.31,PASS
C037,LOT037,RM001,ABS Resin,A사,2026-08-24,Purity,99.00,100.00,99.56,PASS
C038,LOT038,RM001,ABS Resin,A사,2026-08-31,Moisture,0.00,0.50,0.30,PASS
C038,LOT038,RM001,ABS Resin,A사,2026-08-31,Purity,99.00,100.00,99.51,PASS
C039,LOT039,RM001,ABS Resin,A사,2026-09-07,Moisture,0.00,0.50,0.32,PASS
C039,LOT039,RM001,ABS Resin,A사,2026-09-07,Purity,99.00,100.00,99.46,PASS
C040,LOT040,RM001,ABS Resin,A사,2026-09-14,Moisture,0.00,0.50,0.31,PASS
C040,LOT040,RM001,ABS Resin,A사,2026-09-14,Purity,99.00,100.00,99.52,PASS
